Centrale ,H,1
Interneti ,Mk,1
Siguria e të dhënave ,H,2
Makinat Elektrike 1 ,H,2
Bazat e të dhënave ,M,2
Elektroenergjetika ,M,2
Matematika 3K ,Mk,2
Matematika 3E ,Mk,2
Automatika ,E,2
Programimi në Internet ,E,2
Komponentet elektronike ,E,2
Programimi i orientuar në objekte ,P,2
Matjet elektrike ,P,2
Menagjimi i Projekteve ,Sh,2
Sinjalet dhe sistemet ,H,3
Sistemet e rregullimit automatik ,Mk,3
Materialet Elektroteknike ,E,3
Telekomunikacionet ,E,3
Elektronika ,P,3
Komunikimi njeri - kompjuter ,H,4
Rrjetet Kompjuterike ,M,4
Fushat dhe valët elektromagnetike ,M,4
Arkitektura e Kompjuterëve ,Mk,4
